ID number,Surname,Faculty,Origin,Course module viewed,Grade overview report viewed,Grade user report viewed,Message sent,Quiz attempt started,Quiz attempt submitted,Quiz attempt summary viewed,Quiz attempt viewed,Sessions viewed,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,Total Events,Label_Semester,Label_Final,Label_Total
CHEM262_369,CHEM262_Masked_369,Pharmacy ,"web, ws",76,0,1,0,4,4,4,83,0,0,0,0,0,0,0,0,0,2,2,30,45,54,29,2,0,8,172,49,44,92
CHEM262_370,CHEM262_Masked_370,Pharmacy ,"web, ws",37,0,0,0,4,4,5,45,0,0,0,0,0,0,0,0,0,0,0,16,45,15,19,0,0,0,95,49,27,76
CHEM262_371,CHEM262_Masked_371,Applied Medical Sciences,web,51,0,0,0,4,4,4,73,0,0,0,0,0,0,0,0,0,3,1,18,52,39,23,0,0,0,136,49,30,79
CHEM262_372,CHEM262_Masked_372,Agriculture ,web,52,0,1,0,5,4,6,130,0,0,0,0,0,0,0,0,0,1,1,21,43,43,44,44,0,1,198,49,26,74
CHEM262_373,CHEM262_Masked_373,Nurse,web,27,10,26,0,5,5,6,79,0,0,0,0,0,0,0,0,0,0,0,32,48,26,17,35,0,0,158,49,29,77
CHEM262_374,CHEM262_Masked_374,Applied Medical Sciences,web,35,0,0,0,4,4,5,119,0,0,0,0,0,0,0,0,0,0,0,35,37,60,27,0,8,0,167,47,23,70
CHEM262_375,CHEM262_Masked_375,Nurse,web,69,0,0,0,4,4,4,61,0,0,0,0,0,0,0,0,0,0,3,22,55,38,22,2,0,0,142,49,24,73
CHEM262_376,CHEM262_Masked_376,Science and Arts,"web, ws",49,0,19,0,4,4,4,58,0,0,0,0,0,0,0,0,0,6,8,31,38,30,20,4,1,0,138,49,23,71
CHEM262_377,CHEM262_Masked_377,Agriculture ,"web, ws",81,0,6,0,4,4,9,75,0,0,0,0,0,0,0,0,0,1,7,18,58,36,53,2,4,0,179,47,27,74
CHEM262_378,CHEM262_Masked_378,Pharmacy ,web,19,0,0,0,4,4,4,53,0,0,0,0,0,0,0,0,0,0,0,13,17,30,24,0,0,0,84,49,14,62
CHEM262_379,CHEM262_Masked_379,Veterinary Medicine,web,33,0,0,0,4,4,4,59,0,0,0,0,0,0,0,0,0,0,3,12,42,28,19,0,0,0,104,49,24,73
CHEM262_380,CHEM262_Masked_380,Nurse,"web, ws",42,0,35,0,4,4,8,92,0,0,0,0,0,0,0,0,0,0,3,30,57,59,33,2,1,0,185,49,30,79
CHEM262_381,CHEM262_Masked_381,Nurse,web,47,0,0,0,5,5,5,67,0,0,0,0,0,0,0,0,0,0,2,12,31,33,18,33,0,0,129,47,27,74
CHEM262_382,CHEM262_Masked_382,Pharmacy ,web,157,0,0,0,4,4,4,109,3,0,0,0,0,0,0,0,0,2,7,24,167,52,29,0,0,0,281,49,33,82
CHEM262_383,CHEM262_Masked_383,Pharmacy ,web,43,0,2,0,4,4,4,90,0,0,0,0,0,0,0,0,0,0,2,25,46,43,28,3,0,0,147,49,39,88
CHEM262_384,CHEM262_Masked_384,Veterinary Medicine,"web, ws",32,2,4,0,4,4,6,111,0,0,0,0,0,0,0,0,0,0,2,43,41,28,47,0,2,0,163,49,32,80
CHEM262_385,CHEM262_Masked_385,Pharmacy ,web,50,0,0,0,4,4,5,117,1,0,0,0,0,0,0,0,0,0,0,42,57,51,31,0,0,0,181,49,20,68
CHEM262_386,CHEM262_Masked_386,Veterinary Medicine,"web, ws",9,0,0,0,4,4,4,40,0,0,0,0,0,0,0,0,0,0,0,10,17,15,19,0,0,0,61,49,32,80
CHEM262_387,CHEM262_Masked_387,Veterinary Medicine,"web, ws",31,0,0,0,4,4,4,55,0,0,0,0,0,0,0,0,0,1,0,18,21,35,21,2,0,0,98,49,23,71
CHEM262_388,CHEM262_Masked_388,Applied Medical Sciences,web,37,0,6,0,4,4,4,98,0,0,0,0,0,0,0,0,0,0,4,15,55,37,42,0,0,0,153,38,26,64
CHEM262_389,CHEM262_Masked_389,Veterinary Medicine,web,133,0,0,0,4,4,11,89,1,0,0,0,0,0,0,0,0,3,4,82,70,44,29,10,0,0,242,47,20,67
CHEM262_390,CHEM262_Masked_390,Agriculture ,web,66,0,0,0,4,4,4,74,0,0,0,0,0,0,0,0,0,1,1,33,45,42,28,2,0,0,152,49,29,77
CHEM262_391,CHEM262_Masked_391,Pharmacy ,web,47,0,0,0,4,4,7,73,0,0,0,0,0,0,0,0,0,0,7,45,35,25,23,0,0,0,135,49,21,70
CHEM262_392,CHEM262_Masked_392,Veterinary Medicine,web,35,0,0,0,5,5,5,51,0,0,0,0,0,0,0,0,0,0,2,11,23,22,18,25,0,0,101,49,24,73
CHEM262_393,CHEM262_Masked_393,Science and Arts,web,15,0,0,0,4,2,4,37,0,0,0,0,0,0,0,0,0,0,0,12,20,18,12,0,0,0,62,49,27,76
CHEM262_394,CHEM262_Masked_394,Pharmacy ,web,22,0,1,0,4,4,6,69,0,0,0,0,0,0,0,0,0,0,0,22,42,19,23,0,0,0,106,49,23,71
