ID number,Surname,Faculty,Origin,Course module viewed,Discussion viewed,Grade overview report viewed,Grade user report viewed,Quiz attempt started,Quiz attempt submitted,Quiz attempt summary viewed,Quiz attempt viewed,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,Total Events,Label_Semester,Label_Final,Label_Total
BT107_515,BT107_Masked_515,Pharmacy,"web, ws",16,2,0,4,3,3,3,12,0,0,0,0,0,0,0,1,13,0,3,6,0,0,16,1,3,43,35,24,59
BT107_516,BT107_Masked_516,Applied Medical Sciences,web,14,0,0,0,3,3,4,16,0,0,0,0,0,0,0,0,17,0,0,7,0,0,16,0,0,40,33,23,56
BT107_517,BT107_Masked_517,Pharmacy,"web, ws",35,5,0,0,2,2,2,18,0,0,0,0,0,0,0,0,27,0,0,1,12,0,19,0,5,64,41,45,86
BT107_518,BT107_Masked_518,Science and Arts,"web, ws",25,13,0,1,3,3,1,22,0,0,0,0,0,0,1,0,21,0,2,9,1,5,14,11,4,68,36,35,71
BT107_519,BT107_Masked_519,Science and Arts,"web, ws",44,2,0,4,3,3,1,11,0,0,0,0,0,0,0,0,10,0,12,10,4,3,26,1,2,68,41,25,66
BT107_520,BT107_Masked_520,Pharmacy,web,54,6,0,0,3,3,2,19,0,0,0,0,0,0,1,1,25,2,6,14,5,3,29,0,1,87,48,39,87
BT107_521,BT107_Masked_521,Pharmacy,"web, ws",105,10,0,0,3,3,1,22,0,0,0,0,0,0,0,0,57,0,26,9,0,13,33,1,5,144,44,49,93
BT107_522,BT107_Masked_522,Agriculture,web,53,4,0,0,3,3,1,11,0,0,0,0,0,0,0,1,26,0,14,8,1,11,13,1,0,75,45,29,74
BT107_523,BT107_Masked_523,Medicine,"web, ws",47,1,0,6,3,3,3,11,0,0,0,0,0,0,0,0,28,0,2,9,1,5,24,3,2,74,39,23,62
BT107_524,BT107_Masked_524,Medicine,"web, ws",31,5,0,3,3,3,1,13,0,0,0,0,0,0,0,1,15,1,12,5,2,1,18,2,2,59,42,32,74
BT107_525,BT107_Masked_525,Pharmacy,web,30,0,0,0,3,3,1,11,0,0,0,0,0,0,0,0,23,0,2,7,4,0,11,0,1,48,43,27,70
BT107_526,BT107_Masked_526,Pharmacy,"web, ws",16,1,0,4,3,3,0,13,0,0,0,0,0,0,0,0,11,0,6,8,1,0,12,2,0,40,36,24,60
BT107_527,BT107_Masked_527,Applied Medical Sciences,"web, ws",54,10,0,2,3,3,4,26,0,0,0,0,0,0,0,0,53,0,11,11,0,7,18,0,2,102,35,22,57
BT107_528,BT107_Masked_528,Applied Medical Sciences,"web, ws",40,0,0,2,3,3,3,22,0,0,0,0,0,0,0,0,21,0,3,34,0,0,14,1,0,73,36,15,51
BT107_529,BT107_Masked_529,Pharmacy,web,30,0,0,0,3,3,2,12,0,0,0,0,0,0,0,0,17,0,4,8,4,3,14,0,0,50,40,27,67
BT107_530,BT107_Masked_530,Agriculture,"web, ws",18,3,0,7,3,3,0,12,0,0,0,0,0,0,0,1,14,0,0,6,1,3,17,2,2,46,36,29,65
BT107_531,BT107_Masked_531,Science and Arts,"web, ws",45,1,0,0,3,3,4,12,0,0,0,0,0,0,0,0,17,2,12,13,2,11,10,0,1,68,48,17,65
BT107_532,BT107_Masked_532,Veterinary Medicine,"web, ws",126,15,0,3,3,3,7,23,0,0,0,0,0,0,1,6,42,4,5,43,4,16,39,17,3,180,47,39,86
BT107_533,BT107_Masked_533,Science and Arts,web,30,2,0,2,2,2,2,6,0,0,0,0,0,0,1,0,5,0,3,8,0,1,24,1,3,46,43,28,71
BT107_534,BT107_Masked_534,Agriculture,"web, ws",31,3,0,1,3,3,0,19,0,0,0,0,0,0,1,1,16,0,0,6,1,0,30,0,5,60,30,34,64
BT107_535,BT107_Masked_535,Applied Medical Sciences,web,58,4,0,0,3,3,2,43,0,0,0,0,0,0,0,0,55,6,2,17,3,8,16,6,0,113,45,30,75
BT107_536,BT107_Masked_536,Agriculture,web,41,0,0,0,3,3,1,12,0,0,0,0,0,0,0,1,11,0,10,11,1,5,19,1,1,60,42,32,74
BT107_537,BT107_Masked_537,Science and Arts,"web, ws",97,9,0,0,3,3,2,19,0,0,0,0,0,0,0,0,32,4,21,33,1,2,35,2,3,133,50,46,96
BT107_538,BT107_Masked_538,Medicine,"web, ws",26,3,0,13,1,1,0,1,0,0,0,0,0,0,0,0,0,0,3,18,4,3,4,0,13,45,21,43,64
BT107_539,BT107_Masked_539,Applied Medical Sciences,web,28,1,0,4,3,3,4,46,0,0,0,0,0,0,2,1,49,0,7,7,0,0,20,3,0,89,34,22,56
BT107_540,BT107_Masked_540,Agriculture,"web, ws",57,1,0,2,2,2,2,6,0,0,0,0,0,0,0,1,9,6,5,20,2,9,18,2,0,72,34,16,50
BT107_541,BT107_Masked_541,Pharmacy,web,92,1,3,4,3,3,3,22,0,0,0,0,0,0,0,0,25,0,51,12,1,15,26,0,1,131,39,39,78
BT107_542,BT107_Masked_542,Agriculture,"web, ws",57,1,0,0,2,2,3,16,0,0,0,0,0,0,1,2,33,0,9,8,6,21,1,0,0,81,22,29,51
BT107_543,BT107_Masked_543,Agriculture,"web, ws",79,23,0,0,3,3,2,11,0,0,0,0,0,0,1,4,26,1,6,15,4,30,20,11,3,121,44,32,76
BT107_544,BT107_Masked_544,Pharmacy,"web, ws",62,4,0,0,3,3,4,30,0,0,0,0,0,0,0,2,51,11,8,12,5,0,13,0,4,106,43,33,76
BT107_545,BT107_Masked_545,Applied Medical Sciences,web,23,0,0,0,3,3,3,19,0,0,0,0,0,0,0,0,23,2,3,7,2,0,14,0,0,51,38,15,53
BT107_546,BT107_Masked_546,Applied Medical Sciences,"web, ws",41,4,0,0,2,2,2,7,0,0,0,0,0,0,1,1,9,0,1,21,4,0,19,1,1,58,39,37,76
